Valuation_Year,Book_Value,Total_Assets,Total_Liabilities,Total_Revenues,Working_Capital,Retained_Earnings,EBIT,Equity_Value
2008,38097.34925,90561.5133,52464.16405,105742.5135,12650.64591,18952.91278,8781.195714,39297.25001
2013,32666.89949,56450.11184,23783.21235,106300.7119,18832.90593,14609.7812,4687.069741,42958.13611
2007,51787.62559,88353.04555,36565.41995,98046.38269,18843.61492,33853.07684,7948.555782,66187.43551
2013,201854.7914,439215.7312,237360.9398,267665.9529,67678.68319,125966.4368,62669.01933,160493.7549
2010,36052.69097,62360.4172,26307.72623,120930.4895,21730.58324,16057.48145,5264.92247,46388.12094
2015,150938.5194,286452.5324,135514.013,219409.2127,10164.70395,95711.38328,26619.53063,229522.4038
2008,30723.06549,63800.92434,33077.85885,78754.61494,15799.54364,12255.91617,8048.438454,32991.04785
2010,56214.24345,90936.00709,34721.76364,107550.1219,22065.82617,37278.02773,8163.675322,75949.83551
2016,35195.95054,80038.19948,44842.24894,77634.8297,8446.153594,19207.61884,7772.03842,40286.07537
2013,114258.887,206840.3572,92581.47018,124959.3677,7089.130798,65113.26406,8906.806195,200094.1858
2011,83004.6847,139675.4526,56670.76786,145001.1215,19615.65797,54745.52573,14553.62678,120308.161
2011,42020.21941,98334.04632,56313.82691,152388.4159,21178.24837,17834.85835,9516.697401,38650.44086
2014,44795.01729,111916.3892,67121.37196,157674.9654,21096.85633,19851.19422,10594.38971,37614.45007
2015,33519.27093,62696.96806,29177.69712,102159.1733,19074.47273,14199.91897,6488.905389,39498.34632
2009,2778.714269,4006.016576,1227.302307,5673.794318,644.500127,1449.94614,240.1144216,5491.742044
2016,5200.226027,7720.200902,2519.974875,13066.67333,2455.235084,2123.7734,1273.767187,9067.567748
2009,144449.2787,274716.1557,130266.877,174683.7476,5398.99469,85921.14977,17705.63517,239562.1359
2010,40350.24032,99414.37663,59064.13631,127567.6939,15915.36896,18755.13748,9564.790695,38114.04513
2013,196610.1944,437124.5218,240514.3274,271156.1813,69753.39757,122856.845,63403.87633,140716.0012
2010,27149.94318,54969.22012,27819.27694,45380.95896,4232.563043,15690.17922,5319.716861,37573.94901
2013,20033.03828,36947.41056,16914.37227,29893.48439,2630.835773,11373.33725,3249.394283,31817.69777
2013,41347.51173,70222.79097,28875.27923,117499.1252,21829.1794,21627.14856,6019.779102,53391.71985
2014,40889.87696,67380.43608,26490.55912,74526.17603,14530.28342,26582.34331,5709.802288,56257.04601
2010,35495.23926,62991.00687,27495.7676,114057.6735,19906.98292,16180.35547,5436.554418,44920.5879
2008,14628.43347,24805.53083,10177.09737,34506.25605,7068.58419,5721.221848,4177.639266,21521.04478
2014,188964.4095,398632.9127,209668.5032,258158.5418,66967.68612,118878.3755,59941.08221,151784.6841
2008,114782.0594,208014.285,93232.2256,125114.7127,6953.407271,65363.49499,8913.550754,201160.5879
2013,17450.83923,31452.41363,14001.5744,28538.42116,4340.311562,8440.476963,3157.063625,27654.88718
2014,87943.55558,158273.7423,70330.18668,175531.9878,17857.45356,53317.32542,16863.89572,127854.1197
2011,46585.21453,76200.99234,29615.77781,86762.12148,17319.81613,30572.19143,6611.84161,63472.02941
2009,45945.10529,76822.26839,30877.1631,114519.6064,21914.79232,26463.39642,6675.23547,60095.04991
2012,171061.1503,348291.601,177230.4507,202007.7871,35319.47044,102057.6335,36782.63311,211070.9405
2011,24870.82883,37127.51697,12256.68814,48544.84723,9779.740927,16374.36948,3539.430053,38719.28051
2010,35622.31435,62001.06993,26378.75558,119761.8865,21537.56716,15662.0155,5315.970919,45520.51457
2008,152904.9941,289999.3185,137094.3244,232962.6463,11608.88623,98678.17813,29320.76335,226531.8498
2012,14286.96121,24582.05989,10295.09868,17389.14103,1337.62637,7887.986943,1577.848399,25535.81133
2007,37100.51209,86840.12285,49739.61076,96085.52171,11206.10327,19040.42246,8434.47829,39705.74371
2013,18637.77317,34182.56262,15544.78945,32460.81988,5326.962049,8731.156808,3709.295687,28419.50034
2013,146331.4865,278125.3992,131793.9127,187656.3935,6781.291296,88760.81241,20291.11547,236673.9964
2013,42941.87731,93494.00238,50552.12508,65409.75623,5163.359612,24668.73792,7285.906096,58783.64268
